,BSOFT.NS,COFORGE.NS,CYIENT.NS,HAPPSTMNDS.NS,HCLTECH.NS,INFY.NS,INTELLECT.NS,KPITTECH.NS,LTIMINDTREE.NS,LTTS.NS,MASTEK.NS,MPHASIS.NS,OFSS.NS,PERSISTENT.NS,SONATSOFTW.NS,TATAELXSI.NS,TCS.NS,TECHM.NS,WIPRO.NS,ZENSARTECH.NS,^CNXIT
2021-01-01,234.10345458984375,511.1175842285156,454.6221618652344,327.24908447265625,759.400634765625,1109.5997314453125,304.2492980957031,140.1085205078125,,2258.91845703125,1159.96435546875,1369.9637451171875,2450.235595703125,716.25244140625,133.9154052734375,1782.83935546875,2534.8974609375,820.837646484375,178.8804931640625,225.92001342773438,24456.099609375
2021-01-04,238.42481994628906,532.9534912109375,465.29779052734375,331.31134033203125,783.2890625,1134.072509765625,310.64105224609375,141.61769104003906,,2298.43408203125,1185.1988525390625,1360.5164794921875,2546.72314453125,726.8941650390625,134.3750457763672,1795.39013671875,2631.159423828125,840.9818115234375,182.7060546875,223.2233123779297,25110.05078125
2021-01-05,251.67056274414062,541.2149047851562,486.1175231933594,331.262939453125,792.0375366210938,1138.9583740234375,323.27716064453125,140.30325317382812,,2347.51318359375,1263.15673828125,1416.3037109375,2605.62060546875,741.5535888671875,138.54605102539062,1868.690673828125,2677.515625,842.57666015625,187.26910400390625,221.5029754638672,25769.150390625
2021-01-06,243.6385955810547,526.0066528320312,476.15069580078125,327.10400390625,781.5314331054688,1128.6588134765625,318.7045593261719,132.80613708496094,,2336.591064453125,1308.7318115234375,1446.8388671875,2542.49169921875,736.9620361328125,136.38392639160156,1903.718505859375,2641.591064453125,836.9530029296875,187.31520080566406,218.7132568359375,25419.150390625
2021-01-07,245.94012451171875,514.6005249023438,474.1571960449219,324.6376647949219,769.0277709960938,1111.09619140625,334.6348876953125,131.735107421875,,2243.965087890625,1265.5552978515625,1489.1492919921875,2512.419677734375,727.0855102539062,138.69931030273438,1907.8704833984375,2625.40283203125,834.9385986328125,187.47653198242188,220.48008728027344,25251.19921875
2021-01-08,248.47659301757812,526.504150390625,474.1571960449219,333.5841979980469,794.6741333007812,1155.0682373046875,342.5508728027344,136.11656188964844,,2302.887451171875,1267.8582763671875,1467.927001953125,2525.45361328125,751.3345336914062,146.27523803710938,1950.19970703125,2701.667724609375,882.2357177734375,198.28492736816406,221.36349487304688,26162.400390625
2021-01-11,249.88572692871094,528.9168090820312,474.2015380859375,341.8053283691406,842.9706420898438,1211.496826171875,338.961669921875,133.04953002929688,,2364.857177734375,1309.6915283203125,1521.520263671875,2533.462646484375,771.3267211914062,145.15162658691406,2021.0665283203125,2749.75634765625,904.478271484375,205.93609619140625,223.08380126953125,27027.75
2021-01-12,249.9796600341797,520.524169921875,464.3232421875,338.0816650390625,848.5632934570312,1207.579345703125,330.7998352050781,132.0272216796875,,2345.028076171875,1290.5977783203125,1484.0899658203125,2617.822998046875,778.1421508789062,144.3684844970703,1992.4813232421875,2748.37158203125,893.23095703125,210.96005249023438,221.4564971923828,26982.099609375
2021-01-13,250.12057495117188,512.6103515625,459.2733459472656,331.262939453125,843.6497192382812,1221.1363525390625,316.44287109375,131.3456573486328,,2432.966064453125,1298.6575927734375,1478.7171630859375,2630.403564453125,787.3013916015625,141.38917541503906,2263.77978515625,2734.60693359375,897.8055419921875,211.5592498779297,219.27120971679688,27004.30078125
2021-01-14,250.16751098632812,513.3238525390625,447.6231994628906,342.4823913574219,821.079345703125,1206.47900390625,319.097900390625,130.56674194335938,,2518.607666015625,1281.434814453125,1518.8338623046875,2598.782470703125,800.047607421875,138.95465087890625,2376.689697265625,2819.386962890625,883.4945678710938,209.41600036621094,222.1538848876953,26965.55078125
2021-01-15,241.99459838867188,495.26165771484375,437.5234375,365.1146545410156,790.799072265625,1183.9869384765625,328.93145751953125,131.97853088378906,,2360.87255859375,1249.244140625,1493.2237548828125,2553.71240234375,779.1705322265625,136.33287048339844,2250.369873046875,2804.33935546875,845.4722900390625,202.133544921875,219.7826385498047,26362.80078125
2021-01-18,232.6943359375,471.2384033203125,425.075927734375,356.1197509765625,784.1680297851562,1155.0242919921875,318.6553649902344,128.66810607910156,,2227.371337890625,1109.2559814453125,1464.0765380859375,2499.763427734375,761.6414794921875,133.6770477294922,2376.355712890625,2794.2783203125,837.876220703125,198.90716552734375,222.94432067871094,25916.25
