ticker,week,job_count,skill_ai_ml_share,skill_cloud_share,skill_legacy_share,skill_digital_share,skill_data_share,skill_security_share,senior_share,junior_share,seniority_score,volume_zscore,skill_ai_ml_velocity,skill_cloud_velocity,skill_legacy_velocity,skill_digital_velocity,skill_data_velocity,skill_security_velocity,trends_raw,trends_zscore,trends_velocity,trends_spike,fwd_excess_7d,fwd_excess_14d
TCS.NS,2026-05-04,16,0.0624999999960937,0.3749999999765625,0.0624999999960937,0.1249999999921875,0.1874999999882812,0.0,0.0624999999960937,0.0,0.0624999999960937,,,,,,,,18.0,-1.1308266965178064,-6.0,0.0,-0.02531341639959328,-0.041260119251861904
TCS.NS,2026-05-11,22,0.0,0.4545454545247934,0.0909090909049586,0.0909090909049586,0.5909090908822314,0.0,0.0,0.0,0.0,0.7071067810198809,-0.0624999999960937,0.0795454545482308,0.0284090909088649,-0.0340909090872288,0.4034090908939501,0.0,18.0,-1.1308266965178064,-6.0,0.0,-0.02245272313334612,
TCS.NS,2026-05-18,28,0.1071428571390306,0.4999999999821428,0.1071428571390306,0.1071428571390306,0.4285714285561224,0.0,0.2142857142780612,0.0,0.2142857142780612,0.9999999998333332,0.1071428571390306,0.0454545454573494,0.0162337662340719,0.0162337662340719,-0.1623376623261089,0.0,18.0,-1.1308266965178064,-6.0,0.0,-0.004204186459910941,
TCS.NS,2026-05-25,90,0.0555555555549382,0.2999999999966666,0.2666666666637037,0.1222222222208642,0.1888888888867901,0.0444444444439506,0.1111111111098765,0.0,0.1111111111098765,1.484667399792714,-0.0515873015840923,-0.1999999999854761,0.1595238095246731,0.0150793650818335,-0.2396825396693323,0.0444444444439506,18.0,-1.1308266965178064,-6.0,0.0,,
INFY.NS,2026-05-25,133,0.0977443609015207,0.3533834586439595,0.2706766917272881,0.1879699248106167,0.067669172931822,0.135338345863644,0.1804511278181921,0.045112781954548,0.135338345863644,,,,,,,,,,,,,
WIPRO.NS,2026-05-11,5,0.19999999996,0.0,0.0,0.0,0.0,0.0,0.39999999992,0.0,0.39999999992,,,,,,,,,,,,0.007157078655893434,
WIPRO.NS,2026-05-18,26,0.0769230769201183,0.4999999999807692,0.0384615384600591,0.1153846153801775,0.0384615384600591,0.0,0.1153846153801775,0.0,0.1153846153801775,0.7071067811389286,-0.1230769230398816,0.4999999999807692,0.0384615384600591,0.1153846153801775,0.0384615384600591,0.0,,,,,0.030759892030264524,
WIPRO.NS,2026-05-25,70,0.0571428571420408,0.1857142857116326,0.0285714285710204,0.1142857142840816,0.0571428571420408,0.0571428571420408,0.2999999999957142,0.0857142857130612,0.214285714282653,1.0953252727955498,-0.0197802197780775,-0.3142857142691365,-0.0098901098890387,-0.0010989010960958,0.0186813186819816,0.0571428571420408,,,,,,
HCLTECH.NS,2026-05-18,23,0.0434782608676748,0.0,0.0869565217353497,0.0,0.0434782608676748,0.0,0.0434782608676748,0.1739130434706994,-0.1304347826030245,,,,,,,,,,,,-0.001985335490615636,
HCLTECH.NS,2026-05-25,78,0.0256410256406969,0.0256410256406969,0.0256410256406969,0.0384615384610453,0.1923076923052268,0.0641025641017422,0.0384615384610453,0.1538461538441814,-0.115384615383136,0.7071067811683658,-0.0178372352269779,0.0256410256406969,-0.0613154960946528,0.0384615384610453,0.1488294314375519,0.0641025641017422,,,,,,
TECHM.NS,2026-05-04,21,0.0,0.0,0.0,0.0,0.0,0.0952380952335601,0.0,0.0952380952335601,-0.0952380952335601,,,,,,,,,,,,-0.025764778385686027,-0.02794058413663658
TECHM.NS,2026-05-11,10,0.0,0.0,0.0,0.0,0.0,0.09999999999,0.0,0.09999999999,-0.09999999999,-0.7071067810956384,0.0,0.0,0.0,0.0,0.0,0.0047619047564399,,,,,-0.007705309845989272,
TECHM.NS,2026-05-18,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1796053019945168,0.0,0.0,0.0,0.0,0.0,-0.09999999999,,,,,-0.0003051070788526733,
TECHM.NS,2026-05-25,35,0.0,0.0,0.0,0.0,0.0,0.0571428571412244,0.0,0.0571428571412244,-0.0571428571412244,1.3655185402031007,0.0,0.0,0.0,0.0,0.0,0.0571428571412244,,,,,,
LTIM.NS,2026-05-11,7,0.2857142856734694,0.1428571428367347,0.1428571428367347,0.0,0.2857142856734694,0.0,0.1428571428367347,0.0,0.1428571428367347,,,,,,,,,,,,,
LTIM.NS,2026-05-18,37,0.2162162162103725,0.3243243243155588,0.3243243243155588,0.1081081081051862,0.1351351351314828,0.0540540540525931,0.0,0.0,0.0,0.7071067811532141,-0.0694980694630968,0.1814671814788241,0.1814671814788241,0.1081081081051862,-0.1505791505419865,0.0540540540525931,,,,,,
LTIM.NS,2026-05-25,14,0.2857142856938775,0.2142857142704081,0.3571428571173469,0.0714285714234693,0.1428571428469387,0.1428571428469387,0.2142857142704081,0.0,0.2142857142704081,-0.3398107674513249,0.0694980694835049,-0.1100386100451507,0.032818532801788,-0.0366795366817168,0.0077220077154559,0.0888030887943456,,,,,,
MPHASIS.NS,2026-05-04,18,0.0555555555524691,0.0555555555524691,0.0,0.0,0.1111111111049382,0.0,0.1111111111049382,0.1111111111049382,0.0,,,,,,,,,,,,-0.017839667152701133,-0.018179179301648585
MPHASIS.NS,2026-05-11,9,0.0,0.1111111110987654,0.0,0.0,0.1111111110987654,0.0,0.2222222221975308,0.2222222221975308,0.0,-0.7071067810754365,-0.0555555555524691,0.0555555555462962,0.0,0.0,-6.1728400169158696e-12,0.0,,,,,0.017095129322835634,
MPHASIS.NS,2026-05-18,24,0.0833333333298611,0.1666666666597222,0.0,0.0416666666649305,0.0833333333298611,0.0416666666649305,0.1249999999947916,0.0416666666649305,0.0833333333298611,0.9271726498227236,0.0833333333298611,0.0555555555609567,0.0,0.0416666666649305,-0.0277777777689043,0.0416666666649305,,,,,0.02107598749035433,
MPHASIS.NS,2026-05-25,36,0.0277777777770061,0.2499999999930555,0.1111111111080247,0.1944444444390432,0.2499999999930555,0.0277777777770061,0.3055555555470679,0.0277777777770061,0.2777777777700617,1.2583057391006804,-0.0555555555528549,0.0833333333333333,0.1111111111080247,0.1527777777741127,0.1666666666631944,-0.0138888888879243,,,,,,
PERSISTENT.NS,2026-05-25,74,0.0,0.3783783783732651,0.0,0.3243243243199415,0.1891891891866325,0.0270270270266617,0.5945945945865595,0.0,0.5945945945865595,,,,,,,,60.0,-0.9486664538959672,-16.0,0.0,,
COFORGE.NS,2026-05-18,8,0.0,0.24999999996875,0.374999999953125,0.24999999996875,0.24999999996875,0.0,0.4999999999375,0.0,0.4999999999375,,,,,,,,,,,,0.0116867736361852,
