week,trends_raw,ticker,trends_zscore,trends_velocity,trends_spike
2021-01-01,26,INTELLECT.NS,,,0
2021-02-01,40,INTELLECT.NS,,14.0,0
2021-03-01,100,INTELLECT.NS,,60.0,0
2021-04-01,77,INTELLECT.NS,0.47969064534196476,-23.0,0
2021-05-01,96,INTELLECT.NS,0.8467284998742626,19.0,0
2021-06-01,62,INTELLECT.NS,-0.16174435177513707,-34.0,0
2021-07-01,84,INTELLECT.NS,0.5247617157338367,22.0,0
2021-08-01,82,INTELLECT.NS,0.42226119886357183,-2.0,0
2021-09-01,64,INTELLECT.NS,-0.24690378366176804,-18.0,0
2021-10-01,56,INTELLECT.NS,-0.5345506291144666,-8.0,0
2021-11-01,51,INTELLECT.NS,-0.6947033571279791,-5.0,0
2021-12-01,48,INTELLECT.NS,-0.7688383938260503,-3.0,0
2022-01-01,45,INTELLECT.NS,-1.088338031422642,-3.0,0
2022-02-01,38,INTELLECT.NS,-1.4078055928170758,-7.0,0
2022-03-01,56,INTELLECT.NS,-0.4061970903080245,18.0,0
2022-04-01,41,INTELLECT.NS,-1.049286790380324,-15.0,0
2022-05-01,44,INTELLECT.NS,-0.7963908747904769,3.0,0
2022-06-01,32,INTELLECT.NS,-1.3138325069376962,-12.0,0
2022-07-01,32,INTELLECT.NS,-1.20227225773259,0.0,0
2022-08-01,31,INTELLECT.NS,-1.298894561289219,-1.0,0
2022-09-01,31,INTELLECT.NS,-1.1736826390993789,0.0,0
2022-10-01,31,INTELLECT.NS,-1.0190493306147472,0.0,0
2022-11-01,39,INTELLECT.NS,0.0,8.0,0
2022-12-01,27,INTELLECT.NS,-1.2394788191271306,-12.0,0
2023-01-01,27,INTELLECT.NS,-1.0456552975820999,0.0,0
2023-02-01,31,INTELLECT.NS,-0.49365030947399524,4.0,0
2023-03-01,22,INTELLECT.NS,-1.6591758744778236,-9.0,0
2023-04-01,16,INTELLECT.NS,-1.9861273840454694,-6.0,0
2023-05-01,34,INTELLECT.NS,0.7768293955834676,18.0,0
2023-06-01,30,INTELLECT.NS,0.12823877229070904,-4.0,0
2023-07-01,41,INTELLECT.NS,1.631563666919031,11.0,1
2023-08-01,40,INTELLECT.NS,1.2606239115030242,-1.0,0
2023-09-01,26,INTELLECT.NS,-0.5806391484643253,-14.0,0
2023-10-01,19,INTELLECT.NS,-1.2696158343329669,-7.0,0
2023-11-01,20,INTELLECT.NS,-0.9769370104951245,1.0,0
2023-12-01,32,INTELLECT.NS,0.47792369002135626,12.0,0
2024-01-01,31,INTELLECT.NS,0.31052143627837947,-1.0,0
2024-02-01,32,INTELLECT.NS,0.4226293727128547,1.0,0
2024-03-01,31,INTELLECT.NS,0.21281413266251195,-1.0,0
2024-04-01,27,INTELLECT.NS,-0.4858328102161282,-4.0,0
2024-05-01,26,INTELLECT.NS,-0.5363887538819098,-1.0,0
2024-06-01,18,INTELLECT.NS,-1.4178102179417185,-8.0,0
2024-07-01,21,INTELLECT.NS,-0.8929709856639112,3.0,0
2024-08-01,19,INTELLECT.NS,-1.1130193658689158,-2.0,0
2024-09-01,19,INTELLECT.NS,-0.9615053941929169,0.0,0
2024-10-01,16,INTELLECT.NS,-1.3605528032631196,-3.0,0
2024-11-01,14,INTELLECT.NS,-1.4619342044118622,-2.0,0
2024-12-01,32,INTELLECT.NS,1.2141487460369704,18.0,0
2025-01-01,30,INTELLECT.NS,0.9419797031886347,-2.0,0
2025-02-01,18,INTELLECT.NS,-0.7305932123429397,-12.0,0
2025-03-01,16,INTELLECT.NS,-0.899552890065872,-2.0,0
2025-04-01,19,INTELLECT.NS,-0.29351811217566576,3.0,0
2025-05-01,28,INTELLECT.NS,1.2198665229051409,9.0,0
2025-06-01,26,INTELLECT.NS,0.7528571530775985,-2.0,0
2025-07-01,18,INTELLECT.NS,-0.5361109641590681,-8.0,0
2025-08-01,15,INTELLECT.NS,-0.9388022879586719,-3.0,0
2025-09-01,17,INTELLECT.NS,-0.5874453373989373,2.0,0
2025-10-01,17,INTELLECT.NS,-0.6063329331835499,0.0,0
2025-11-01,20,INTELLECT.NS,-0.22373395541264524,3.0,0
2025-12-01,16,INTELLECT.NS,-0.787221893506022,-4.0,0
2026-01-01,15,INTELLECT.NS,-0.9017066602029785,-1.0,0
2026-02-01,20,INTELLECT.NS,0.26003782637263373,5.0,0
2026-03-01,13,INTELLECT.NS,-1.2768149472502581,-7.0,0
2026-04-01,10,INTELLECT.NS,-1.5555349536194762,-3.0,0
2026-05-01,13,INTELLECT.NS,-0.8853605865919468,3.0,0
2021-01-01,77,LTTS.NS,,,0
2021-02-01,62,LTTS.NS,,-15.0,0
2021-03-01,65,LTTS.NS,,3.0,0
2021-04-01,58,LTTS.NS,-0.9162708325603488,-7.0,0
2021-05-01,69,LTTS.NS,0.3857027396513719,11.0,0
2021-06-01,62,LTTS.NS,-0.521170437761267,-7.0,0
2021-07-01,100,LTTS.NS,2.052289901432112,38.0,1
2021-08-01,79,LTTS.NS,0.5482449443816387,-21.0,0
2021-09-01,98,LTTS.NS,1.5149041686614018,19.0,1
2021-10-01,84,LTTS.NS,0.574554673428827,-14.0,0
2021-11-01,85,LTTS.NS,0.6022129643052795,1.0,0
2021-12-01,83,LTTS.NS,0.44194769951092994,-2.0,0
2022-01-01,86,LTTS.NS,0.5926059043035025,3.0,0
2022-02-01,73,LTTS.NS,-0.4092230599666852,-13.0,0
2022-03-01,56,LTTS.NS,-1.5027640800682078,-17.0,0
2022-04-01,51,LTTS.NS,-1.6936550024136943,-5.0,0
2022-05-01,47,LTTS.NS,-1.6048386715013863,-4.0,0
2022-06-01,44,LTTS.NS,-1.5257405859813602,-3.0,0
2022-07-01,57,LTTS.NS,-0.7273625155088232,13.0,0
2022-08-01,49,LTTS.NS,-0.9894305684161521,-8.0,0
2022-09-01,52,LTTS.NS,-0.7090654616759772,3.0,0
2022-10-01,44,LTTS.NS,-1.0097538059882998,-8.0,0
2022-11-01,39,LTTS.NS,-1.1413884513445902,-5.0,0
2022-12-01,49,LTTS.NS,-0.37071142891640296,10.0,0
2023-01-01,52,LTTS.NS,0.10663131567417146,3.0,0
2023-02-01,42,LTTS.NS,-1.1778427027124463,-10.0,0
2023-03-01,30,LTTS.NS,-2.2796863151580307,-12.0,0
2023-04-01,30,LTTS.NS,-1.7397498553028201,0.0,0
2023-05-01,39,LTTS.NS,-0.5790996931803785,9.0,0
2023-06-01,49,LTTS.NS,0.5416025602461995,10.0,0
2023-07-01,63,LTTS.NS,1.903750275886969,14.0,1
2023-08-01,51,LTTS.NS,0.6224753313024248,-12.0,0
2023-09-01,39,LTTS.NS,-0.5169800152894599,-12.0,0
2023-10-01,38,LTTS.NS,-0.5606100149728369,-1.0,0
2023-11-01,38,LTTS.NS,-0.5493833627366718,0.0,0
2023-12-01,48,LTTS.NS,0.49177151240466266,10.0,0
2024-01-01,49,LTTS.NS,0.6350265000132761,1.0,0
2024-02-01,27,LTTS.NS,-1.4015872973962646,-22.0,0
2024-03-01,31,LTTS.NS,-1.039090532452118,4.0,0
2024-04-01,33,LTTS.NS,-0.8950403437590089,2.0,0
2024-05-01,35,LTTS.NS,-0.6538678659313227,2.0,0
2024-06-01,31,LTTS.NS,-0.8825913634589727,-4.0,0
2024-07-01,30,LTTS.NS,-0.9368348703206957,-1.0,0
2024-08-01,29,LTTS.NS,-0.9388345201162797,-1.0,0
2024-09-01,34,LTTS.NS,-0.1777080644462882,5.0,0
2024-10-01,30,LTTS.NS,-0.6429900549836601,-4.0,0
2024-11-01,30,LTTS.NS,-0.5475085438971088,0.0,0
2024-12-01,20,LTTS.NS,-1.7303866078347423,-10.0,0
2025-01-01,33,LTTS.NS,0.6990133594554472,13.0,0
2025-02-01,20,LTTS.NS,-1.9857763610903545,-13.0,0
2025-03-01,23,LTTS.NS,-1.1527614930643484,3.0,0
2025-04-01,20,LTTS.NS,-1.4056520953516627,-3.0,0
2025-05-01,24,LTTS.NS,-0.5706644325809336,4.0,0
2025-06-01,25,LTTS.NS,-0.2926433637977811,1.0,0
2025-07-01,23,LTTS.NS,-0.5730918250176843,-2.0,0
2025-08-01,16,LTTS.NS,-1.5447950413871134,-7.0,0
2025-09-01,24,LTTS.NS,0.0,8.0,0
2025-10-01,22,LTTS.NS,-0.2911673402040456,-2.0,0
2025-11-01,24,LTTS.NS,0.2855143626172842,2.0,0
2025-12-01,25,LTTS.NS,0.43473001073570366,1.0,0
