ticker,week,job_count,skill_ai_ml_share,skill_cloud_share,skill_legacy_share,skill_digital_share,skill_data_share,skill_security_share,senior_share,junior_share,seniority_score,volume_zscore,skill_ai_ml_velocity,skill_cloud_velocity,skill_legacy_velocity,skill_digital_velocity,skill_data_velocity,skill_security_velocity,fwd_excess,horizon_days
TCS.NS,2026-05-04,16,0.0624999999960937,0.3749999999765625,0.0624999999960937,0.1249999999921875,0.1874999999882812,0.0,0.0624999999960937,0.0,0.0624999999960937,,,,,,,,-0.02531341639959328,7
TCS.NS,2026-05-11,20,0.0,0.499999999975,0.0499999999975,0.099999999995,0.59999999997,0.0,0.0,0.0,0.0,0.7071067809365474,-0.0624999999960937,0.1249999999984374,-0.0124999999985937,-0.0249999999971874,0.4124999999817187,0.0,-0.02245272313334612,7
TCS.NS,2026-05-18,13,0.0,0.4615384615029586,0.1538461538343195,0.0769230769171597,0.3846153845857988,0.0,0.2307692307514793,0.0,0.2307692307514793,-0.9491579954822286,0.0,-0.0384615384720414,0.1038461538368195,-0.0230769230778402,-0.2153846153842011,0.0,-0.004204186459910941,7
WIPRO.NS,2026-05-11,4,0.2499999999375,0.0,0.0,0.0,0.0,0.0,0.499999999875,0.0,0.499999999875,,,,,,,,0.007157078655893434,7
WIPRO.NS,2026-05-18,24,0.0833333333298611,0.4583333333142361,0.0416666666649305,0.1249999999947916,0.0416666666649305,0.0,0.0833333333298611,0.0,0.0833333333298611,0.7071067811365475,-0.1666666666076389,0.4583333333142361,0.0416666666649305,0.1249999999947916,0.0416666666649305,0.0,0.030759892030264524,7
HCLTECH.NS,2026-05-18,15,0.0,0.0,0.0666666666622222,0.0,0.0666666666622222,0.0,0.0666666666622222,0.1999999999866666,-0.1333333333244444,,,,,,,,-0.001985335490615636,7
TECHM.NS,2026-05-04,20,0.0,0.0,0.0,0.0,0.0,0.099999999995,0.0,0.099999999995,-0.099999999995,,,,,,,,-0.025764778385686027,7
TECHM.NS,2026-05-11,10,0.0,0.0,0.0,0.0,0.0,0.09999999999,0.0,0.09999999999,-0.09999999999,-0.7071067810865475,0.0,0.0,0.0,0.0,0.0,-5.000000413701855e-12,-0.007705309845989272,7
TECHM.NS,2026-05-18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5773502690896258,0.0,0.0,0.0,0.0,0.0,-0.09999999999,-0.0003051070788526733,7
MPHASIS.NS,2026-05-04,17,0.0588235294083045,0.0588235294083045,0.0,0.0,0.117647058816609,0.0,0.117647058816609,0.0588235294083045,0.0588235294083045,,,,,,,,-0.017839667152701133,7
MPHASIS.NS,2026-05-11,9,0.0,0.1111111110987654,0.0,0.0,0.1111111110987654,0.0,0.2222222221975308,0.2222222221975308,0.0,-0.7071067810615475,-0.0588235294083045,0.0522875816904609,0.0,0.0,-0.0065359477178435,0.0,0.017095129322835634,7
