,BSOFT.NS,COFORGE.NS,CYIENT.NS,HAPPSTMNDS.NS,HCLTECH.NS,INFY.NS,INTELLECT.NS,KPITTECH.NS,LTIM.NS,LTTS.NS,MASTEK.NS,MPHASIS.NS,OFSS.NS,PERSISTENT.NS,SONATSOFTW.NS,TATAELXSI.NS,TCS.NS,TECHM.NS,WIPRO.NS,ZENSARTECH.NS
2021-01-01,-0.08705084673657826,-0.10988230891137873,0.1529415078497165,0.12243218720101057,-0.054771606104164317,-0.024140737682433855,0.3521454875003469,-0.1295398030207774,,0.01028461140460335,-0.05196665899950936,0.028923211569215734,-0.08610190650881333,0.13996624508204358,-0.06546275170521854,0.4672464863204371,0.011127652540320554,-0.06189629852620904,0.07232817449354978,-0.11105440992328419
2021-01-04,-0.061635668535697796,-0.0963389730535732,0.1597687698127257,0.15757078923083823,-0.044825401378140284,-0.018398550944647818,0.3355828632603659,-0.11391394476971761,,0.06503874751781624,-0.01630321171128668,0.08803792380030151,-0.09004129500747804,0.13319346585286018,-0.020067599300765515,0.5142207895553517,0.0046955355678417465,-0.035188169557046844,0.08622324760905675,-0.06188824779865287
2021-01-05,-0.07389082169325767,-0.08373276068615876,0.14662388267198978,0.4301085968081376,-0.025878403162111208,0.00920608386191879,0.3700462442449436,-0.05746833741543633,,0.08400341350656737,-0.04843198902658119,0.058857538018492694,-0.08493110588997632,0.13011999949834474,-0.02881004627870798,0.45627492129070213,0.014324435530719604,-0.004442555752034116,0.08007159854056367,0.0277379358785087
2021-01-06,-0.07223634196463857,-0.07414703213302853,0.13942481540138973,0.5075309597068043,-0.034719815389503306,0.00022810166531361808,0.3656514205280288,-0.03680337290415103,,0.058879520744218095,-0.1143328568494919,0.04064694642923272,-0.09558732897412381,0.09718295762337781,-0.01870457070058451,0.36990052953807817,-0.004020912394564924,0.005643791540318022,0.05988021897840845,0.031414540993183415
2021-01-07,-0.09993387635439421,-0.07220587558108715,0.10240809505921056,0.5937743486063811,-0.018894977469454566,0.013116042526151395,0.26316174732587627,-0.022913920368173524,,0.09425871579012135,-0.1210485338720586,0.005414101341969291,-0.09292333494018645,0.09875343145406124,-0.027286603098936935,0.3610401966503072,0.004823435812685295,-0.010783766082927748,0.049434292733640195,0.058890413870565705
2021-01-08,-0.07027218337235708,-0.06546458120916376,0.253282595271731,0.6707825614429794,-0.01782550552667206,0.017613056220616152,0.3418602093582781,-0.003867548492907824,,0.0860269479238498,-0.0901648781845491,0.09004950395392597,-0.057491494753557415,0.11408308681504642,0.13866917870452666,0.35850072412007106,0.0031087069801022382,-0.04216178095832945,0.028813569018272367,0.1914266282159418
2021-01-11,-0.032713583956265224,-0.042710815046341666,0.2839108546386322,0.6105741517300283,-0.05196777281650755,0.0023149219426864542,0.36208929790899513,0.0872586741961856,,0.057497702375355675,-0.04387142826995993,0.10911996332656027,-0.021263949397518855,0.11449364389374894,0.21807326216672784,0.36505718945117294,0.022138603527344758,-0.04021924869824267,0.014173008689903455,0.1902715341504364
2021-01-12,-0.041062640041771625,-0.01716142594292336,0.33025228039094623,0.5303553603921161,-0.05245596189641244,0.01059491697471282,0.39227767343131226,0.1295707645033437,,0.07911694905308597,-0.024155935741021706,0.10396033893251055,-0.041623569796709003,0.11161098587063578,0.19625834856669733,0.37256768399611473,0.011981936083348743,-0.016231357319426487,0.00811855094092817,0.25763200431463185
2021-01-13,-0.049881502982813686,0.0008188986808490561,0.345727224365469,0.6027403935599154,-0.03750493082353179,-0.0022286093535838214,0.44438931854207286,0.16641730506090258,,0.08884812676757403,-0.0377525025357458,0.07915671740743524,-0.05386468241655029,0.08567122653407777,0.2625695928193388,0.20821106733964045,0.028944126960564365,-0.025622072097707282,-0.0011267475132304972,0.3438106443837394
2021-01-14,-0.049156863585070765,0.02858797133324098,0.3901372349040837,0.6010556123237902,-0.012709538967099143,0.013280203940841617,0.43639274105436043,0.17709634650709938,,0.05457523344267201,-0.022876325110358864,0.0697601025711988,-0.016294503083730705,0.09698613464740002,0.27007804159015714,0.16614197673991637,-0.010841288326826959,-0.02826975343877569,0.0038750416533556153,0.3409387389110494
2021-01-15,-0.05686364725811188,0.017876223462694685,0.38957342168417985,0.46521327295539694,0.012239518186073273,0.010567038544152862,0.3444587782575078,0.11979726019784465,,0.09227110495435131,-0.02897947198270745,0.05158355263125669,0.0013459434921360147,0.1123922866281023,0.257461013234063,0.18064180076483594,-0.027088265985325988,-0.002258870002385671,0.015581151176629726,0.3028058574154918
2021-01-18,-0.018884660593763813,0.06014341081407604,0.3804182770905321,0.4638212871234654,-0.0006603543734987616,0.017952948492893306,0.3690244193133382,0.09597358592500937,,0.1726853598348156,0.027080530647403456,0.0561536451842376,-0.009707728872347277,0.10504978173004631,0.26899471828578514,0.062385012577149346,-0.04315100749042755,-0.007497566779268605,0.023284689448954787,0.26982976410338233
2021-01-19,-0.038638890365238154,0.07299433586556647,0.3711758719379137,0.487696380300074,-0.004562250850253968,0.030830570332524454,0.4188569858423594,0.021483156843240314,,0.0629834897946564,0.13907924656271597,0.05938555127539891,-0.029669667183053083,0.09071007780063822,0.21893519207080114,-0.031023087188410292,-0.051427477715168646,-0.0062248491698789765,0.024877770454504233,0.29137934538876165
2021-01-20,-0.0464810562042699,0.04298708632867343,0.35167715707368563,0.5075191093210911,-0.00031834377210593345,0.030315724067199512,0.4915587631455267,0.02968132100877563,,0.04869731838840985,0.11045586049689948,0.06151639460109459,0.009397077977176371,0.08001670929739513,0.26771550158081037,-0.002549565726283065,-0.041196407469332286,-0.013309618742828211,0.025505183373001672,0.33977774569652053
2021-01-21,-0.03230917232455244,0.05828001959239815,0.2876775857541535,0.5154180585590712,-0.006004094307266228,0.028977550145790176,0.44063527087650745,0.03681272800572688,,0.08543598809173936,0.08332652053721612,0.06741781627266386,0.002592244917439035,0.10831315466215419,0.19668426806828399,0.10024615747323018,-0.03504353019755768,0.0013557896659233126,-0.0076990844667365055,0.2896239644223827
2021-01-22,-0.026430335716249864,0.07206790553398745,0.1294853679264676,0.4989440977905817,0.018859053643604184,0.039300151375902814,0.5165388271978666,0.11786287070294632,,0.1735394645360646,0.15380587800621415,0.05123333275539377,0.013583029054221485,0.1535143677344999,0.2009090902257753,0.10023848118332235,-0.04655487264607705,0.03051238111876764,-0.01951587534193444,0.20158439725274624
2021-01-25,-0.046756242126849035,0.0941659727791847,0.1418792461675683,0.4885220516365135,0.04401602122260739,0.03237739002710549,0.46435736580867715,0.22682080404936855,,0.18372475786877007,0.10502347721778837,0.018075674615788073,-0.011569228186314118,0.13551497922840994,0.22347832171022264,0.08776655969416802,-0.05608133080988209,0.033507449704197056,-0.024336134089713357,0.1796884255791923
2021-01-27,-0.07325996609891072,0.11120914646866886,0.025284114301871163,0.5081565989940218,0.0289386816014241,0.0460161863214652,0.5172828489338499,0.1674362071994191,,0.11102183940547783,0.079581998227362,0.03280502356897563,-0.021671442953494546,0.18834972051352272,0.17909181045195965,0.008695210760553795,-0.06389212234629449,0.006085634783100424,-0.04983606252261541,0.19121554568087284
2021-01-28,-0.04579598424699782,0.1015879796257062,0.04728854722191822,0.48942218521602654,0.02530331467418545,0.054099383219657904,0.5059674404327283,0.15844700797995825,,0.10923963535556314,0.06840330926017191,0.01640104226001715,-0.04641171812131428,0.17528155440488669,0.24187496758514282,0.029524581305083064,-0.0665597106931598,-0.0011446174908931184,-0.03871328545374508,0.18056200700933234
2021-01-29,-0.07023799291944888,0.12454364931787465,0.04711956736890688,0.47997423324000965,0.029473070723810668,0.05234175035862654,0.5326836771161045,0.011678229324989742,,0.06733854452855748,0.011125753404057637,0.00715891076294306,-0.07762523536920807,0.11417773185110525,0.2436212141567613,-0.04664148637200993,-0.07077632509725507,0.011620771881957426,-0.036028859506721744,0.17810924142237639
2021-02-01,-0.040014254434613594,0.17723979672649892,0.0734193061080215,0.5711936688839578,0.027164783704221485,0.0398039800595571,0.7247524814039825,0.11222619801844003,,0.06522660906553424,0.06272968615682184,0.07345387404022907,-0.0552393026933653,0.17512578263102374,0.3581776046562646,-0.11828650818183373,-0.06715794076688741,0.03222029516130709,-0.03931945437298068,0.3875881353941215
2021-02-02,-0.0397712265816168,0.17349107621911997,0.023105119357069714,0.5402459351206217,0.005448278453228816,0.062141893546579396,0.5961070414058565,0.13596575848255998,,-0.01328031148617237,-0.007693938670214839,0.04166462527989334,-0.05143521057377176,0.14221869975169432,0.34433121542079936,-0.06534598451106544,-0.05716065926790448,0.03675008870572194,-0.04922072624330753,0.36802796659313275
2021-02-03,-0.06135878967748187,0.15114177032351273,0.06436861283288686,0.5154745083276819,-0.0006819176879588884,0.05280403238731113,0.5655589153839031,0.15303926870701967,,0.005389306801197868,-0.006312798723337898,0.04132747639344103,-0.044194097461490056,0.1362021572408234,0.27042625281480137,-0.05811434905423907,-0.03913277682416583,0.027004603586290976,-0.04188807625852087,0.3030254351084267
2021-02-04,-0.09011735973839063,0.16449293932331543,0.006151984166291591,0.5277172895124922,0.0032090878241619603,0.05117072305815751,0.6866975936468993,0.15303263286809665,,-0.00983317701838815,0.014047474032809815,0.04860264821948612,-0.028530562526592362,0.1558506647653468,0.1700597030575024,-0.022150071958259576,-0.04307442784394355,0.02117899725852257,-0.04484125433796815,0.2440644776485652
2021-02-05,-0.11326440409879512,0.14135320997143674,0.028390448159478998,0.5096723584069609,0.006674062110079371,0.04980668783434128,0.4874372574696264,0.19310074748208184,,-0.07591801447432556,-0.005841587432629858,0.0328372019351415,-0.04920515167426198,0.1361784065190339,0.13400116077555024,-0.06151412100742926,-0.036743140544195696,0.02865981294173059,-0.05386523810179311,0.19918523042870206
2021-02-08,-0.03171140890626223,0.09321552397612365,0.023089819310583737,0.5589107271743696,0.016783640533797994,0.04482983195236856,0.34904881946813915,0.19252034037031773,,-0.05525162274867901,0.05096542815569638,0.019899716931729428,-0.018268683543318898,0.09191210165219599,0.1426586355811228,-0.04572519904689676,-0.029581073486240395,0.024520602360982524,-0.05282107833830074,0.23770068071827932
2021-02-09,-0.019257401641331717,0.10994119127783741,0.03691421093037284,0.5327791559997375,0.024350274974492825,0.035995979541043166,0.48598630857925484,0.2560213443466661,,-0.06466221993530696,0.08850899032404214,0.014405860513857949,-0.012545154105122247,0.1082815683577314,0.18346518031936987,-0.07191787215256451,-0.01848736876668189,0.016562376844427185,-0.06545030384882056,0.24621948989741238
2021-02-10,-0.006814929448988205,0.0809773747154039,0.05081578381995655,0.47980411599255923,0.0225401833940998,0.053811258994738154,0.4033801852699226,0.2856699763323891,,-0.024383540895643097,0.0679485617349529,0.04575334076854953,0.009827791131100105,0.043122457675955905,0.2413111867760327,-0.05282856605253772,-0.02115722388753538,0.018681757876260585,-0.06459426565179238,0.23616680252885125
2021-02-11,0.03164703257165746,0.08414848076786308,0.03604987205000032,0.43371419170956604,0.013067326802113644,0.05896932744308281,0.41804035066089174,0.3376626900334475,,0.012878683998464369,0.023264597522970165,0.027331776906334926,-0.0035683128603822833,0.05939647568063233,0.24252476265433354,-0.03990631084347318,-0.018139505115358445,0.03075779932730971,-0.050464864808488774,0.253774923802803
