ticker,week,job_count,skill_ai_ml_share,skill_cloud_share,skill_legacy_share,skill_digital_share,skill_data_share,skill_security_share,senior_share,junior_share,seniority_score,volume_zscore,skill_ai_ml_velocity,skill_cloud_velocity,skill_legacy_velocity,skill_digital_velocity,skill_data_velocity,skill_security_velocity
TCS.NS,2026-05-04,16,0.06249999999609375,0.3749999999765625,0.06249999999609375,0.1249999999921875,0.18749999998828126,0.0,0.06249999999609375,0.0,0.06249999999609375,,,,,,,
TCS.NS,2026-05-11,22,0.0,0.4545454545247934,0.09090909090495868,0.09090909090495868,0.5909090908822314,0.0,0.0,0.0,0.0,0.7071067810198809,-0.06249999999609375,0.07954545454823087,0.028409090908864926,-0.034090909087228824,0.40340909089395016,0.0
TCS.NS,2026-05-18,28,0.10714285713903061,0.49999999998214284,0.10714285713903061,0.10714285713903061,0.42857142855612246,0.0,0.21428571427806123,0.0,0.21428571427806123,0.9999999998333333,0.10714285713903061,0.04545454545734945,0.01623376623407194,0.01623376623407194,-0.16233766232610897,0.0
TCS.NS,2026-05-25,90,0.05555555555493827,0.29999999999666666,0.2666666666637037,0.1222222222208642,0.18888888888679012,0.04444444444395062,0.11111111110987654,0.0,0.11111111110987654,1.484667399792714,-0.051587301584092346,-0.19999999998547618,0.1595238095246731,0.015079365081833579,-0.23968253966933234,0.04444444444395062
INFY.NS,2026-05-25,133,0.09774436090152072,0.35338345864395954,0.27067669172728814,0.18796992481061678,0.06766917293182204,0.13533834586364407,0.18045112781819211,0.04511278195454803,0.13533834586364407,,,,,,,
WIPRO.NS,2026-05-11,5,0.19999999996,0.0,0.0,0.0,0.0,0.0,0.39999999992,0.0,0.39999999992,,,,,,,
WIPRO.NS,2026-05-18,26,0.07692307692011835,0.4999999999807692,0.038461538460059175,0.11538461538017751,0.038461538460059175,0.0,0.11538461538017751,0.0,0.11538461538017751,0.7071067811389286,-0.12307692303988166,0.4999999999807692,0.038461538460059175,0.11538461538017751,0.038461538460059175,0.0
WIPRO.NS,2026-05-25,70,0.057142857142040815,0.18571428571163265,0.028571428571020407,0.11428571428408163,0.057142857142040815,0.057142857142040815,0.29999999999571425,0.08571428571306122,0.21428571428265306,1.0953252727955498,-0.019780219778077535,-0.31428571426913654,-0.009890109889038767,-0.0010989010960958806,0.01868131868198164,0.057142857142040815
HCLTECH.NS,2026-05-18,23,0.04347826086767486,0.0,0.08695652173534972,0.0,0.04347826086767486,0.0,0.04347826086767486,0.17391304347069944,-0.13043478260302457,,,,,,,
HCLTECH.NS,2026-05-25,78,0.02564102564069691,0.02564102564069691,0.02564102564069691,0.038461538461045365,0.19230769230522682,0.06410256410174227,0.038461538461045365,0.15384615384418146,-0.11538461538313609,0.7071067811683658,-0.01783723522697795,0.02564102564069691,-0.06131549609465281,0.038461538461045365,0.14882943143755195,0.06410256410174227
TECHM.NS,2026-05-04,21,0.0,0.0,0.0,0.0,0.0,0.0952380952335601,0.0,0.0952380952335601,-0.0952380952335601,,,,,,,
TECHM.NS,2026-05-11,10,0.0,0.0,0.0,0.0,0.0,0.09999999999,0.0,0.09999999999,-0.09999999999,-0.7071067810956384,0.0,0.0,0.0,0.0,0.0,0.004761904756439908
TECHM.NS,2026-05-18,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17960530199451685,0.0,0.0,0.0,0.0,0.0,-0.09999999999
TECHM.NS,2026-05-25,35,0.0,0.0,0.0,0.0,0.0,0.057142857141224496,0.0,0.057142857141224496,-0.057142857141224496,1.3655185402031007,0.0,0.0,0.0,0.0,0.0,0.057142857141224496
LTIM.NS,2026-05-11,7,0.2857142856734694,0.1428571428367347,0.1428571428367347,0.0,0.2857142856734694,0.0,0.1428571428367347,0.0,0.1428571428367347,,,,,,,
LTIM.NS,2026-05-18,37,0.21621621621037254,0.32432432431555885,0.32432432431555885,0.10810810810518627,0.13513513513148284,0.054054054052593135,0.0,0.0,0.0,0.7071067811532141,-0.06949806946309686,0.18146718147882415,0.18146718147882415,0.10810810810518627,-0.15057915054198656,0.054054054052593135
LTIM.NS,2026-05-25,14,0.2857142856938775,0.21428571427040816,0.35714285711734695,0.07142857142346938,0.14285714284693876,0.14285714284693876,0.21428571427040816,0.0,0.21428571427040816,-0.3398107674513249,0.06949806948350498,-0.1100386100451507,0.03281853280178809,-0.03667953668171689,0.00772200771545592,0.08880308879434562
MPHASIS.NS,2026-05-04,18,0.05555555555246913,0.05555555555246913,0.0,0.0,0.11111111110493826,0.0,0.11111111110493826,0.11111111110493826,0.0,,,,,,,
MPHASIS.NS,2026-05-11,9,0.0,0.11111111109876542,0.0,0.0,0.11111111109876542,0.0,0.22222222219753085,0.22222222219753085,0.0,-0.7071067810754365,-0.05555555555246913,0.05555555554629629,0.0,0.0,-6.17284001691587e-12,0.0
MPHASIS.NS,2026-05-18,24,0.0833333333298611,0.1666666666597222,0.0,0.04166666666493055,0.0833333333298611,0.04166666666493055,0.12499999999479167,0.04166666666493055,0.0833333333298611,0.9271726498227236,0.0833333333298611,0.05555555556095679,0.0,0.04166666666493055,-0.02777777776890432,0.04166666666493055
MPHASIS.NS,2026-05-25,36,0.027777777777006175,0.24999999999305558,0.1111111111080247,0.19444444443904324,0.24999999999305558,0.027777777777006175,0.3055555555470679,0.027777777777006175,0.27777777777006174,1.2583057391006804,-0.055555555552854935,0.08333333333333337,0.1111111111080247,0.1527777777741127,0.16666666666319446,-0.013888888887924378
PERSISTENT.NS,2026-05-25,74,0.0,0.37837837837326516,0.0,0.32432432431994157,0.18918918918663258,0.027027027026661796,0.5945945945865595,0.0,0.5945945945865595,,,,,,,
COFORGE.NS,2026-05-18,8,0.0,0.24999999996875,0.374999999953125,0.24999999996875,0.24999999996875,0.0,0.4999999999375,0.0,0.4999999999375,,,,,,,
